Data chiamata,Chiamate valide
2018-12-20,71
2018-12-21,60
2018-12-22,67
2018-12-23,48
2018-12-24,49
2018-12-25,38
2018-12-26,64
2018-12-27,72
2018-12-28,65
2018-12-29,60
2018-12-30,50
2018-12-31,59
2019-01-01,51
2019-01-02,76
2019-01-03,76
2019-01-04,52
2019-01-05,66
2019-01-06,54
2019-01-07,70
2019-01-08,66
2019-01-09,52
2019-01-10,81
2019-01-11,70
2019-01-12,44
2019-01-13,50
2019-01-14,67
2019-01-15,68
2019-01-16,58
2019-01-17,46
2019-01-18,79
2019-01-19,41
2019-01-20,40
2019-01-21,66
2019-01-22,54
2019-01-23,65
2019-01-24,61
2019-01-25,50
2019-01-26,51
2019-01-27,24
2019-01-28,70
2019-01-29,71
2019-01-30,67
2019-01-31,57
2019-02-01,54
2019-02-02,42
2019-02-03,39
2019-02-04,62
2019-02-05,73
2019-02-06,59
2019-02-07,59
2019-02-08,60
2019-02-09,60
2019-02-10,44
2019-02-11,71
2019-02-12,68
2019-02-13,59
2019-02-14,63
2019-02-15,61
2019-02-16,48
2019-02-17,38
2019-02-18,66
2019-02-19,75
2019-02-20,56
2019-02-21,66
2019-02-22,62
2019-02-23,56
2019-02-24,49
2019-02-25,71
2019-02-26,66
2019-02-27,68
2019-02-28,52
2019-03-01,66
2019-03-02,48
2019-03-03,49
2019-03-04,57
2019-03-05,56
2019-03-06,75
2019-03-07,50
2019-03-08,85
2019-03-09,54
2019-03-10,46
2019-03-11,92
2019-03-12,68
2019-03-13,71
2019-03-14,53
2019-03-15,75
2019-03-16,50
2019-03-17,41
2019-03-18,73
2019-03-19,52
2019-03-20,52
2019-03-21,65
2019-03-22,74
2019-03-23,48
2019-03-24,38
2019-03-25,88
2019-03-26,59
2019-03-27,84
2019-03-28,70
2019-03-29,86
2019-03-30,47
2019-03-31,49
2019-04-01,82
2019-04-02,76
2019-04-03,57
2019-04-04,61
2019-04-05,54
2019-04-06,54
2019-04-07,60
2019-04-08,84
2019-04-09,69
2019-04-10,74
2019-04-11,54
2019-04-12,59
2019-04-13,52
2019-04-14,40
2019-04-15,52
2019-04-16,59
2019-04-17,60
2019-04-18,46
2019-04-19,51
2019-04-20,48
2019-04-21,39
2019-04-22,49
2019-04-23,65
2019-04-24,66
2019-04-25,43
2019-04-26,76
2019-04-27,48
2019-04-28,42
2019-04-29,75
2019-04-30,55
2019-05-01,41
2019-05-02,71
2019-05-03,51
2019-05-04,43
2019-05-05,32
2019-05-06,63
2019-05-07,61
2019-05-08,50
2019-05-09,66
2019-05-10,61
2019-05-11,53
2019-05-12,29
2019-05-13,63
2019-05-14,71
2019-05-15,58
2019-05-16,46
2019-05-17,53
2019-05-18,51
2019-05-19,28
2019-05-20,53
2019-05-21,51
2019-05-22,55
2019-05-23,70
2019-05-24,62
2019-05-25,44
2019-05-26,39
2019-05-27,80
2019-05-28,46
2019-05-29,54
2019-05-30,44
2019-05-31,46
2019-06-01,51
2019-06-02,40
2019-06-03,56
2019-06-04,72
2019-06-05,57
2019-06-06,54
2019-06-07,56
2019-06-08,55
2019-06-09,42
2019-06-10,53
2019-06-11,50
2019-06-12,47
2019-06-13,45
2019-06-14,54
2019-06-15,68
2019-06-16,36
2019-06-17,75
2019-06-18,63
2019-06-19,70
2019-06-20,49
2019-06-21,62
2019-06-22,43
2019-06-23,55
2019-06-24,75
2019-06-25,59
2019-06-26,71
2019-06-27,46
2019-06-28,54
2019-06-29,47
2019-06-30,45
2019-07-01,50
2019-07-02,45
2019-07-03,57
2019-07-04,39
2019-07-05,46
2019-07-06,34
2019-07-07,29
2019-07-08,48
2019-07-09,57
2019-07-10,60
2019-07-11,52
2019-07-12,68
2019-07-13,45
2019-07-14,42
2019-07-15,58
2019-07-16,45
2019-07-17,42
2019-07-18,58
2019-07-19,62
2019-07-20,52
2019-07-21,42
2019-07-22,52
2019-07-23,57
2019-07-24,65
2019-07-25,43
2019-07-26,65
2019-07-27,48
2019-07-28,42
2019-07-29,64
2019-07-30,68
2019-07-31,69
2019-08-01,53
2019-08-02,60
2019-08-03,32
2019-08-04,42
2019-08-05,53
2019-08-06,67
2019-08-07,72
2019-08-08,53
2019-08-09,37
2019-08-10,48
2019-08-11,37
2019-08-12,61
2019-08-13,51
2019-08-14,53
2019-08-15,34
2019-08-16,45
2019-08-17,53
2019-08-18,46
2019-08-19,90
2019-08-20,61
2019-08-21,90
2019-08-22,68
2019-08-23,47
2019-08-24,50
2019-08-25,59
2019-08-26,63
2019-08-27,75
2019-08-28,52
2019-08-29,54
2019-08-30,52
2019-08-31,48
2019-09-01,40
2019-09-02,70
2019-09-03,80
2019-09-04,48
2019-09-05,73
2019-09-06,60
2019-09-07,46
2019-09-08,51
2019-09-09,64
2019-09-10,66
2019-09-11,54
2019-09-12,53
2019-09-13,65
2019-09-14,41
2019-09-15,52
2019-09-16,73
2019-09-17,44
2019-09-18,59
2019-09-19,61
2019-09-20,52
2019-09-21,51
2019-09-22,37
2019-09-23,57
2019-09-24,69
2019-09-25,41
2019-09-26,42
2019-09-27,46
2019-09-28,46
2019-09-29,32
2019-09-30,46
2019-10-01,58
2019-10-02,59
2019-10-03,48
2019-10-04,42
2019-10-05,38
2019-10-06,30
2019-10-07,64
2019-10-08,41
2019-10-09,53
2019-10-10,62
2019-10-11,53
2019-10-12,42
2019-10-13,34
2019-10-14,55
2019-10-15,62
2019-10-16,47
2019-10-17,62
2019-10-18,52
2019-10-19,43
2019-10-20,22
2019-10-21,66
2019-10-22,56
2019-10-23,46
2019-10-24,61
2019-10-25,44
2019-10-26,50
2019-10-27,41
2019-10-28,50
2019-10-29,53
2019-10-30,46
2019-10-31,59
2019-11-01,46
2019-11-02,39
2019-11-03,32
2019-11-04,59
2019-11-05,60
2019-11-06,55
2019-11-07,47
2019-11-08,50
2019-11-09,42
2019-11-10,35
2019-11-11,70
2019-11-12,51
2019-11-13,49
2019-11-14,52
2019-11-15,49
2019-11-16,31
2019-11-17,35
2019-11-18,57
2019-11-19,50
2019-11-20,51
2019-11-21,39
2019-11-22,49
2019-11-23,65
2019-11-24,75
2019-11-25,254
2019-11-26,149
2019-11-27,132
2019-11-28,123
2019-11-29,108
2019-11-30,84
2019-12-01,71
2019-12-02,118
2019-12-03,149
2019-12-04,96
2019-12-05,93
2019-12-06,82
2019-12-07,85
2019-12-08,59
2019-12-09,85
2019-12-10,99
2019-12-11,84
2019-12-12,70
2019-12-13,83
2019-12-14,82
2019-12-15,57
2019-12-16,100
2019-12-17,99
2019-12-18,65
2019-12-19,99
2019-12-20,68
2019-12-21,43
2019-12-22,52
2019-12-23,55
2019-12-24,53
2019-12-25,46
2019-12-26,42
2019-12-27,84
2019-12-28,55
2019-12-29,44
2019-12-30,59
2019-12-31,61
2020-01-01,41
2020-01-02,82
2020-01-03,76
2020-01-04,58
2020-01-05,49
2020-01-06,42
2020-01-07,70
2020-01-08,54
2020-01-09,58
2020-01-10,59
2020-01-11,38
2020-01-12,54
2020-01-13,60
2020-01-14,58
2020-01-15,52
2020-01-16,64
2020-01-17,60
2020-01-18,52
2020-01-19,53
2020-01-20,52
2020-01-21,46
2020-01-22,61
2020-01-23,57
2020-01-24,56
2020-01-25,47
2020-01-26,52
2020-01-27,58
2020-01-28,61
2020-01-29,64
2020-01-30,60
2020-01-31,55
2020-02-01,49
2020-02-02,53
2020-02-03,63
2020-02-04,67
2020-02-05,47
2020-02-06,57
2020-02-07,62
2020-02-08,42
2020-02-09,48
2020-02-10,90
2020-02-11,61
2020-02-12,64
2020-02-13,56
2020-02-14,52
2020-02-15,43
2020-02-16,46
2020-02-17,88
2020-02-18,79
2020-02-19,50
2020-02-20,69
2020-02-21,56
2020-02-22,51
2020-02-23,46
2020-02-24,58
2020-02-25,55
2020-02-26,58
2020-02-27,58
2020-02-28,48
2020-02-29,41
2020-03-01,34
2020-03-02,63
2020-03-03,52
2020-03-04,38
2020-03-05,44
2020-03-06,60
2020-03-07,43
2020-03-08,39
2020-03-09,47
2020-03-10,48
2020-03-11,36
2020-03-12,52
2020-03-13,39
2020-03-14,23
2020-03-15,51
2020-03-16,64
2020-03-17,58
2020-03-18,55
2020-03-19,55
2020-03-20,63
2020-03-21,65
2020-03-22,59
2020-03-23,96
2020-03-24,127
2020-03-25,126
2020-03-26,134
2020-03-27,154
2020-03-28,150
2020-03-29,136
2020-03-30,165
2020-03-31,162
2020-04-01,157
2020-04-02,126
2020-04-03,168
2020-04-04,168
2020-04-05,169
2020-04-06,201
2020-04-07,186
2020-04-08,182
2020-04-09,172
2020-04-10,194
2020-04-11,146
2020-04-12,112
2020-04-13,121
2020-04-14,219
2020-04-15,208
2020-04-16,164
2020-04-17,172
2020-04-18,171
2020-04-19,146
2020-04-20,214
2020-04-21,178
2020-04-22,218
2020-04-23,169
2020-04-24,184
2020-04-25,135
2020-04-26,135
2020-04-27,211
2020-04-28,155
2020-04-29,182
2020-04-30,172
2020-05-01,130
2020-05-02,180
2020-05-03,135
2020-05-04,195
2020-05-05,170
2020-05-06,187
2020-05-07,136
2020-05-08,165
2020-05-09,126
2020-05-10,125
2020-05-11,149
2020-05-12,148
2020-05-13,148
2020-05-14,148
2020-05-15,152
2020-05-16,119
2020-05-17,116
2020-05-18,159
2020-05-19,160
2020-05-20,157
2020-05-21,138
2020-05-22,136
2020-05-23,111
2020-05-24,100
2020-05-25,150
2020-05-26,155
2020-05-27,163
2020-05-28,139
2020-05-29,122
2020-05-30,123
2020-05-31,105
2020-06-01,169
2020-06-02,96
2020-06-03,137
2020-06-04,151
2020-06-05,121
2020-06-06,110
2020-06-07,94
2020-06-08,133
2020-06-09,126
2020-06-10,116
2020-06-11,108
2020-06-12,119
2020-06-13,102
2020-06-14,91
2020-06-15,127
2020-06-16,117
2020-06-17,122
2020-06-18,117
2020-06-19,94
2020-06-20,89
2020-06-21,85
2020-06-22,139
2020-06-23,131
2020-06-24,112
2020-06-25,93
2020-06-26,100
2020-06-27,84
2020-06-28,83
2020-06-29,127
2020-06-30,67
2020-07-01,69
2020-07-02,82
2020-07-03,92
2020-07-04,83
2020-07-05,66
2020-07-06,109
2020-07-07,89
2020-07-08,88
2020-07-09,86
2020-07-10,77
2020-07-11,66
2020-07-12,60
2020-07-13,107
2020-07-14,69
2020-07-15,90
2020-07-16,74
2020-07-17,67
2020-07-18,65
2020-07-19,58
2020-07-20,86
2020-07-21,66
2020-07-22,72
2020-07-23,66
2020-07-24,69
2020-07-25,69
2020-07-26,76
2020-07-27,82
2020-07-28,82
2020-07-29,60
2020-07-30,72
2020-07-31,73
2020-08-01,74
2020-08-02,70
2020-08-03,80
2020-08-04,65
2020-08-05,56
2020-08-06,68
2020-08-07,71
2020-08-08,78
2020-08-09,52
2020-08-10,74
2020-08-11,80
2020-08-12,82
2020-08-13,76
2020-08-14,61
2020-08-15,64
2020-08-16,56
2020-08-17,86
2020-08-18,88
2020-08-19,62
2020-08-20,74
2020-08-21,57
2020-08-22,52
2020-08-23,44
2020-08-24,78
2020-08-25,75
2020-08-26,64
2020-08-27,67
2020-08-28,46
2020-08-29,35
2020-08-30,45
2020-08-31,82
2020-09-01,69
2020-09-02,67
2020-09-03,55
2020-09-04,45
2020-09-05,57
2020-09-06,46
2020-09-07,77
2020-09-08,48
2020-09-09,77
2020-09-10,56
2020-09-11,38
2020-09-12,43
2020-09-13,54
2020-09-14,53
2020-09-15,71
2020-09-16,92
2020-09-17,64
2020-09-18,38
2020-09-19,45
2020-09-20,45
2020-09-21,61
2020-09-22,70
2020-09-23,55
2020-09-24,65
2020-09-25,66
2020-09-26,33
2020-09-27,35
2020-09-28,61
2020-09-29,70
2020-09-30,56
2020-10-01,48
2020-10-02,61
2020-10-03,43
2020-10-04,32
2020-10-05,74
2020-10-06,62
2020-10-07,61
2020-10-08,52
2020-10-09,53
2020-10-10,48
2020-10-11,46
2020-10-12,46
2020-10-13,62
2020-10-14,54
2020-10-15,46
2020-10-16,44
2020-10-17,48
2020-10-18,51
2020-10-19,50
2020-10-20,52
2020-10-21,50
2020-10-22,42
2020-10-23,49
2020-10-24,55
2020-10-25,44
2020-10-26,72
2020-10-27,75
2020-10-28,64
2020-10-29,58
2020-10-30,57
2020-10-31,48
2020-11-01,42
2020-11-02,54
2020-11-03,68
2020-11-04,64
2020-11-05,52
2020-11-06,45
2020-11-07,44
2020-11-08,42
2020-11-09,65
2020-11-10,81
2020-11-11,61
2020-11-12,56
2020-11-13,47
2020-11-14,60
2020-11-15,40
2020-11-16,56
2020-11-17,52
2020-11-18,76
2020-11-19,71
2020-11-20,69
2020-11-21,68
2020-11-22,113
2020-11-23,160
2020-11-24,153
2020-11-25,314
2020-11-26,220
2020-11-27,128
2020-11-28,154
2020-11-29,121
2020-11-30,139
2020-12-01,128
2020-12-02,99
2020-12-03,106
2020-12-04,105
2020-12-05,116
2020-12-06,89
2020-12-07,87
2020-12-08,87
2020-12-09,111
2020-12-10,74
2020-12-11,98
2020-12-12,95
2020-12-13,66
2020-12-14,91
2020-12-15,90
2020-12-16,85
2020-12-17,97
2020-12-18,84
2020-12-19,54
2020-12-20,43
2020-12-21,58
2020-12-22,61
2020-12-23,75
2020-12-24,47
2020-12-25,41
2020-12-26,61
2020-12-27,67
2020-12-28,82
2020-12-29,87
2020-12-30,77
2020-12-31,35
